y	y_type	x	degrees_freedom	deviance	residual_degrees_freedom	residual_deviance	F_statistic	p-value	coefficient	covariants	memo	FDR
death_days_to	Q	HAC.low	1	32032.0890109986	176	115999169.313846	0.0486007589475283	0.825771712815731	-69.2179487179482	Disease	NA	0.978456874295022
death_days_to	Q	HBV.low	0	0	177	116031201.402857	NA	NA	NA	Disease	NA	NA
death_days_to	Q	HHV5.low	1	170780.056499168	176	115860421.346358	0.259426727389495	0.611152283714249	-120.269339356295	Disease	NA	0.916668062132453
death_days_to	Q	HPV16.low	1	86461.3368096352	176	115944740.066048	0.131245240360428	0.717579040931511	70.0140388768897	Disease	NA	0.950188535726491
death_days_to	Q	HPV18.low	1	970711.534876674	176	115060489.86798	1.48482967814861	0.224651240104363	-358.257516134111	Disease	NA	0.629051162926895
death_days_to	Q	HPV33.low	1	1452169.33636366	176	114579032.066493	2.23061583424516	0.137090479997053	-398.018181818183	Disease	NA	0.548361919988213
death_days_to	Q	HPV45.low	0	0	177	116031201.402857	NA	NA	NA	Disease	NA	NA
death_days_to	Q	Other.HPV.low	1	172677.615789488	176	115858523.787068	0.262313547467642	0.60917724420991	-174.052631578947	Disease	NA	0.916668062132453
death_days_to	Q	Any.HPV.low	1	552091.671358854	176	115479109.731498	0.841434735555936	0.360242030936973	-148.971527013448	Disease	NA	0.770172617865252
death_days_to	Q	Any.HHV.low	1	199092.63024196	176	115832108.772615	0.302509410334323	0.583010817016539	-77.594758064516	Disease	NA	0.916668062132453
death_days_to	Q	AnyVirus.low	1	566385.256260574	176	115464816.146597	0.863326235892502	0.354082129476677	-114.125492772667	Disease	NA	0.770172617865252
tobacco_smoking_pack_years_smoked	Q	BK	0	0	352	443061.760184498	NA	NA	NA	Disease	NA	NA
